,English,German,Arabic
0,A cat came out from under the desk.,Eine Katze kam unter dem Schreibtisch raus.,خرجت قطة من تحت المكتب.
1,"Instead of going myself, I sent a gift.","Anstatt selbst zu gehen, habe ich ein Geschenk geschickt.",بعثت بهدية عوضاً عن الذهاب بنفسي.
2,let them eat crack reads this graffiti in new york image by flickr user omiso.,lassen sie essen Crack liest diese Graffiti in New York Bild von flickr Benutzer omiso.,دعهم ياكلون المخدرات الجرافيتي في نيويورك تصوير على فليكر
3,My father helped me with my homework.,Mein Vater half mir bei meinen Hausaufgaben.,ساعدني أبي في حل واجبي.
4,Please correct me when I make a mistake.,"Bitte korrigieren Sie mich, wenn ich einen Fehler mache.","من فضلك, صحِح لي, عندما أُخطيء."
5,It is raining.,Es regnet.,إنها تمطر.
6,I will stay here all this month.,Ich werde den ganzen Monat hier bleiben.,سأظل هنا هذا الشهر بأكمله.
7,Your letter made me happy.,Dein Brief hat mich glücklich gemacht.,أسعدتني رسالتك.
8,The house has three floors.,Das Haus hat drei Etagen.,المنزل لديهِ ثلاثة طوابق.
9,It's important to me that we follow the rules.,"Es ist mir wichtig, dass wir uns an die Regeln halten.",يهمّني أن نتبع القوانين.
10,This is a good textbook.,Das ist ein gutes Lehrbuch.,هذا كتاب جيد.
11,Stop or I'll pull the car over!,"Anhalten, oder ich fahr an die Tür!",توقف وإلا سأسحب السيارة اكثر.
12,Tom is the only one who can do this.,"Tom ist der Einzige, der das kann.",توم هو فقط من يمكنه فعل هذا.
13,How unlucky I am!,Wie unglücklich ich doch bin!,يا لسوء حظي.
14,It's on the eighth floor.,Es ist im achten Stock.,إنه في الطابق الثامن.
15,You will never get bored in her company.,Sie wird sich in ihrer Gesellschaft nie langweilen.,لن تشعر أبداً بالملل في صحبتها.
16,Here's your dog.,Hier ist dein Hund.,ها هو كلبك.
17,I'm cutting down on sweets.,Ich schneide Süßigkeiten ab.,سأخفف من أكل الحلويات.
18,Is there a cash machine near here?,Gibt es hier in der Nähe einen Geldautomaten?,هل هناك صرّاف آلي قريب من هنا؟
19,I've never met him.,Ich habe ihn noch nie getroffen.,لم يسبق لي أن قابلته.
20,My clock needs to be fixed.,Meine Uhr muss repariert werden.,أحتاج إلى أن أصلح ساعتي.
21,That's what makes me happy.,Das macht mich glücklich.,هذا ما يشعرني بالسعادة.
22,Mary spoke Japanese slowly.,Maria sprach langsam Japanisch.,تحدثت ماري باليابانية ببطئ.
23,I work with him.,Ich arbeite mit ihm.,أعمل معه.
24,children in medellin colombia beat the heat by filling up a skateboarding pit with water and cooling off the skateboarding pit is part of the park structures built by the metro system in the areas directly under the metrocable aerial gondola lift system the photograph was taken by diego alzate while on vacation in colombia this past july and is used with his permission.,Kinder in Medellin kolumbien schlagen die Hitze durch das Auffüllen einer Skateboardgrube mit Wasser und Abkühlung der Skateboardgrube ist Teil der Parkstrukturen von der Metro-System in den Bereichen direkt unter der Metrokabel-Antenne Gondellift-System gebaut wurde das Foto von Diego alzate während im Urlaub in Kolumbien in diesem vergangenen Juli und wird mit seiner Erlaubnis verwendet.,الاطفال في ميديلين بكولومبيا تغلبوا على الحر عن طريق ملي تجويف التزحلق بالمياه والاستحمام فيه هذا التجويف المستخدم في التزلج جزء من متنزه تم انشاءه بواسطة الشركة التي تعمل على مد خطوط تلفريك في المناطق التي تقع مباشرة تحت عامود التلفريك التقطت الصورة بالاسفل بواسطة ديجو الزاتي اثناء رحلته في كولومبيا يوليو تموز الماضي ؛ واستخدمت بتصريح منه
25,elia saikaly s short movie catches the majestic beauty of mount everest at night in time lapse.,elia saikaly s kurzer Film fängt die majestätische Schönheit des Mount everest in der Nacht im Zeitraffer.,يقتنص فيلم اليا سايكالي القصير روعة وعظمة جبل ايفرست في الليل الفيديو بتقنية تايم لابس او تصوير مرور الوقت
26,Where is Tom's classroom?,Wo ist Toms Klassenzimmer?,أين فصل توم؟
27,I'm an eighth grader.,Ich bin Achtklässler.,أنا في الصف الثامن.
28,I made an appointment to see the doctor at four o'clock.,Ich habe einen Termin für den Arzt um vier Uhr.,أخذت موعداً مع الطبيب عند الرابعة.
29,Thanks for the advice.,Danke für den Rat.,شكرا على النصيحة.
30,I want to die.,Ich will sterben.,أريد أن أموت.
31,At what time does your class end?,Wann endet dein Unterricht?,في أي وقت ينتهي صفك؟
32,There was no one in the room.,Es war niemand im Zimmer.,لم يكن هناك أحد في الغرفة.
33,india pakistan let people meet global voices.,india pakistan lassen die Menschen globale Stimmen treffen.,الهند باكستان اسمحوا للناس بالالتقاء الاصوات العالمية
34,How are you?,Wie geht es dir?,كيفَ حالك؟
35,Do you have a showroom for your products in the city?,Haben Sie einen Showroom für Ihre Produkte in der Stadt?,هل لديكم معرض لمنتجاتكم في المدينة؟
36,I'm on the list.,Ich stehe auf der Liste.,أنا على القائمة.
37,They just want to have fun.,Sie wollen nur Spaß haben.,إنهم يريدون فقط الحصول على المتعة.
38,I added this website to my favorites.,Ich habe diese Website zu meinen Favoriten hinzugefügt.,لقد وضعت هذا الموقع في مفضلاتي.
39,I bought her a clock.,Ich habe ihr eine Uhr gekauft.,ابتعتُ لها ساعة.
40,since his arrest he has been held incommunicado where he has no access to a lawyer nor his family all this suggests that al omeisy has become a victim of enforced disappearance a practice many other yemenis have been subjected to either at the hands of houthis or the saudi led coalition fighting against them.,"Seit seiner Verhaftung wurde er in Kommunikation gehalten, wo er weder Zugang zu einem Anwalt noch zu seiner Familie hat. All dies deutet darauf hin, dass Al-Omeisy zum Opfer des gewaltsamen Verschwindens geworden ist.",وتشهد اليمن صراعا على السلطة منذ ما يقارب الثلاث سنوات بين حكومة الرييس اليمني عبد ربه منصور هادي المعترف بها دوليا والمساندة من قبل تحالف تقوده السعودية من جهة وانصار الله الحوثيين جنبا الى جنب مع القوات الموالية للرييس السابق علي عبد الله صالح الذي سلم السلطة بعد الاحتجاجات في عام من الجهه الاخرى قبل ان يغير صالح موقفه ويدعو الى الحوار مع السعودية وقتل صالح على يد الحوثيين يوم ديسمبر كانون الاول
41,I hated school.,Ich hasste die Schule.,لقد كَرِهتُ المَدرَسَة.
42,The people of Boston hated the British soldiers.,Das Volk von Boston hasste die britischen Soldaten.,كره أهل بوسطن الجنود البريطانيين.
43,"One lump of sugar, please.","Einen Klumpen Zucker, bitte.",مكعب سكر واحد من فضلك.
44,She swindled him.,Sie hat ihn betrogen.,لقد خدعتهُ.
45,They hated Tom.,Sie hassten Tom.,كانوا يكرهون توم.
46,We were all present at her wedding.,Wir waren alle bei ihrer Hochzeit dabei.,كلنا حضرنا حفل زفافها.
47,We require your help.,Wir brauchen Ihre Hilfe.,نحتاج إلى مساعدتك.
48,Are you laughing at me?,Lachst du mich aus?,هل تضحك علي؟
49,a traffic inspector of the municipality lucio montenegro said he saw a ghost in the palace of the lions on june he told elciudadanoweb com he was working in santa fe and cordoba for flag day and requested permission to enter the bathroom of the municipality of rosario montenegro went upstairs where the scary episode took place a ghost touched his shoulder and said i am yolanda tell the guard to leave the lights on.,"ein Verkehrsinspektor der Gemeinde lucio montenegro sagte, er sah einen Geist im Palast der Löwen auf Juni sagte er elciudadanoweb com arbeitete er in Santa Fe und Cordoba für Flagge Tag und bat um Erlaubnis, das Badezimmer der Gemeinde rosario montenegro ging nach oben, wo die gruselige Episode stattfand ein Geist berührte seine Schulter und sagte, ich bin yolanda sagen, die Wache die Lichter an lassen.",قال مفتش المرور الذي يعمل في البلدية لوسيو مونتينيجرو انه راى شبح في قصر الاسود يوم من يونيو حزيران واخبر موقع المدينة دوت كوم انه كان يعمل في سانتا في وقرطبة من اجل يوم العلم وطلب تصريح لدخول الحمام في بدلية روساريو صعد مونتينيجرو السلم حيث جرت الاحداث المرعبة لمس شبح ما كتفه وقال انا يولاندا اخبر الحارس ان يترك الانوار مضاءه
50,How tall you are!,Wie groß du bist!,ما أطول عودك!
51,I like love stories.,Ich mag Liebesgeschichten.,أحب قصص الغرام.
52,"Bring me today's paper, please.","Bringen Sie mir die Zeitung von heute, bitte.",من فضلك أحضر لي جريدة اليوم.
53,Let's go somewhere else.,Gehen wir woanders hin.,هيا بنا نذهب إلى أي مكان آخر.
54,Tom loves going out.,Tom geht gerne aus.,توم يحب الخروج
55,thuggery.,- Das ist chaotisch.,البلطجة
56,I give you five minutes to resolve this issue.,"Ich gebe Ihnen fünf Minuten, um dieses Problem zu lösen.",أُعطيك خَمس دقائق لحل هذه المشكلة.
57,What they told you is not true.,"Was man dir gesagt hat, ist nicht wahr.",ما أخبروك به ليس صحيحاً.
58,I want something sweet.,Ich will etwas Süßes.,أريد شيئاً حلواً.
59,I am very sorry.,Es tut mir sehr leid.,أنا آسف جداً
60,This bread is hard as a rock.,Dieses Brot ist hart wie ein Stein.,هذه الخبزة صلبة كالصخر.
61,Don't despise a man because he is poor.,"Verachte keinen Mann, weil er arm ist.",لا تحتقر إنساناً لأنه فقير.
62,It makes no difference to me whether he joins us or not.,"Es macht für mich keinen Unterschied, ob er sich uns anschließt oder nicht.",لا فرق عندي انضم أم لا ينضم.
63,he shares in his blog the experience of climbing to the summit of mount everest for the second time.,Er teilt in seinem Blog zum zweiten Mal die Erfahrung des Kletterns auf den Gipfel des Mount Everest.,كما يشارك على مدونته تجربة تسلق قمة جبل ايفرست للمرة الثانية
64,Can you speak English?,Können Sie Englisch sprechen?,هل تستطيع التحدث باللغة الانجليزية؟
65,I think that's what happened.,"Ich glaube, das ist passiert.",أظنّ أن هذا ما حدث.
